x1,y1, z1, x2,y2,z2
92.7863, 114.669, 185.322, 154.959, -108.35, 94.05
94.8752, 115.029, 185.405, 155.512, -108.009, 94.5725
96.9554, 115.378, 185.48, 156.051, -107.657, 95.0955
99.0265, 115.716, 185.547, 156.574, -107.296, 95.619
101.088, 116.043, 185.605, 157.083, -106.924, 96.1429
103.141, 116.36, 185.656, 157.576, -106.541, 96.6672
105.183, 116.665, 185.698, 158.055, -106.149, 97.1918
107.215, 116.959, 185.732, 158.518, -105.746, 97.7166
109.237, 117.241, 185.758, 158.966, -105.333, 98.2417
111.248, 117.512, 185.776, 159.399, -104.91, 98.767
113.248, 117.772, 185.785, 159.816, -104.476, 99.2924
115.237, 118.02, 185.785, 160.218, -104.033, 99.8178
117.215, 118.256, 185.777, 160.604, -103.58, 100.343
119.18, 118.48, 185.761, 160.975, -103.116, 100.869
121.134, 118.692, 185.735, 161.331, -102.643, 101.394
123.075, 118.892, 185.701, 161.67, -102.16, 101.919
125.004, 119.08, 185.658, 161.994, -101.667, 102.444
126.919, 119.255, 185.606, 162.303, -101.164, 102.969
128.821, 119.418, 185.545, 162.596, -100.651, 103.494
130.71, 119.568, 185.475, 162.873, -100.128, 104.018
132.585, 119.706, 185.396, 163.134, -99.5964, 104.542
134.446, 119.831, 185.308, 163.38, -99.0547, 105.065
136.292, 119.943, 185.211, 163.61, -98.5034, 105.588
138.124, 120.042, 185.105, 163.824, -97.9426, 106.11
139.94, 120.128, 184.989, 164.022, -97.3724, 106.632
141.741, 120.201, 184.865, 164.205, -96.7928, 107.153
143.527, 120.261, 184.73, 164.371, -96.2038, 107.673
145.297, 120.307, 184.587, 164.522, -95.6056, 108.193
147.051, 120.34, 184.434, 164.657, -94.9983, 108.712
148.788, 120.36, 184.271, 164.776, -94.3817, 109.23
150.508, 120.366, 184.099, 164.88, -93.7561, 109.747
152.212, 120.358, 183.918, 164.967, -93.1216, 110.263
153.898, 120.337, 183.727, 165.039, -92.4781, 110.778
155.566, 120.302, 183.526, 165.095, -91.8257, 111.293
157.217, 120.253, 183.316, 165.135, -91.1646, 111.806
158.849, 120.19, 183.096, 165.16, -90.4948, 112.318
160.463, 120.113, 182.867, 165.168, -89.8163, 112.828
162.058, 120.023, 182.628, 165.161, -89.1293, 113.338
163.634, 119.918, 182.379, 165.139, -88.4338, 113.846
165.191, 119.799, 182.12, 165.1, -87.73, 114.353
166.728, 119.665, 181.852, 165.046, -87.0178, 114.859
168.246, 119.518, 181.574, 164.977, -86.2974, 115.363
169.743, 119.356, 181.286, 164.891, -85.5689, 115.866
171.22, 119.18, 180.988, 164.791, -84.8323, 116.367
172.677, 118.989, 180.681, 164.674, -84.0877, 116.867
174.112, 118.785, 180.364, 164.543, -83.3353, 117.365
175.526, 118.565, 180.037, 164.396, -82.5751, 117.862
176.919, 118.332, 179.7, 164.233, -81.8071, 118.357
178.29, 118.083, 179.354, 164.056, -81.0315, 118.85
179.64, 117.821, 178.998, 163.863, -80.2485, 119.341
180.967, 117.543, 178.632, 163.655, -79.4579, 119.831
182.272, 117.252, 178.257, 163.431, -78.6601, 120.319
183.554, 116.945, 177.871, 163.193, -77.8549, 120.805
184.813, 116.624, 177.476, 162.94, -77.0427, 121.289
186.049, 116.289, 177.072, 162.672, -76.2234, 121.771
187.262, 115.939, 176.657, 162.389, -75.3971, 122.251
188.452, 115.574, 176.233, 162.091, -74.5639, 122.729
189.617, 115.195, 175.8, 161.778, -73.724, 123.205
190.759, 114.801, 175.357, 161.451, -72.8773, 123.679
191.877, 114.393, 174.904, 161.109, -72.0242, 124.151
192.97, 113.97, 174.442, 160.753, -71.1645, 124.62
194.039, 113.533, 173.97, 160.382, -70.2985, 125.088
195.083, 113.081, 173.489, 159.997, -69.4262, 125.553
196.102, 112.615, 172.999, 159.598, -68.5477, 126.016
197.095, 112.135, 172.499, 159.184, -67.6631, 126.476
198.064, 111.64, 171.99, 158.757, -66.7726, 126.935
199.007, 111.13, 171.471, 158.316, -65.8761, 127.39
199.925, 110.607, 170.944, 157.86, -64.9739, 127.844
200.817, 110.069, 170.407, 157.391, -64.0661, 128.295
201.683, 109.517, 169.861, 156.908, -63.1526, 128.743
202.522, 108.95, 169.307, 156.412, -62.2337, 129.189
203.336, 108.37, 168.743, 155.902, -61.3094, 129.633
204.123, 107.776, 168.17, 155.379, -60.3799, 130.074
204.884, 107.167, 167.589, 154.842, -59.4452, 130.512
205.618, 106.545, 166.998, 154.293, -58.5054, 130.948
206.326, 105.909, 166.399, 153.73, -57.5607, 131.382
207.007, 105.259, 165.792, 153.154, -56.6112, 131.812
207.66, 104.596, 165.176, 152.566, -55.6568, 132.24
208.287, 103.918, 164.551, 151.964, -54.6979, 132.665
208.887, 103.228, 163.918, 151.35, -53.7343, 133.088
209.459, 102.524, 163.277, 150.724, -52.7664, 133.507
210.005, 101.806, 162.627, 150.085, -51.7941, 133.924
210.523, 101.075, 161.969, 149.434, -50.8175, 134.339
211.013, 100.332, 161.303, 148.77, -49.8368, 134.75
211.476, 99.5747, 160.63, 148.095, -48.8521, 135.159
211.912, 98.8048, 159.948, 147.408, -47.8634, 135.564
212.32, 98.0221, 159.258, 146.708, -46.8709, 135.967
212.7, 97.2267, 158.561, 145.998, -45.8746, 136.367
213.053, 96.4186, 157.856, 145.275, -44.8748, 136.765
213.378, 95.598, 157.144, 144.541, -43.8713, 137.159
213.675, 94.765, 156.424, 143.796, -42.8644, 137.55
213.945, 93.9197, 155.697, 143.039, -41.8542, 137.939
214.187, 93.0623, 154.963, 142.272, -40.8408, 138.324
214.401, 92.1929, 154.222, 141.493, -39.8241, 138.707
214.588, 91.3115, 153.474, 140.704, -38.8045, 139.086
214.747, 90.4184, 152.718, 139.904, -37.7819, 139.463
214.879, 89.5136, 151.956, 139.093, -36.7564, 139.836
214.983, 88.5974, 151.188, 138.272, -35.7281, 140.207
215.059, 87.6698, 150.412, 137.44, -34.6972, 140.574
215.107, 86.7309, 149.631, 136.598, -33.6637, 140.939
215.129, 85.781, 148.843, 135.747, -32.6277, 141.301
215.122, 84.8202, 148.048, 134.885, -31.5893, 141.659
215.089, 83.8485, 147.248, 134.013, -30.5487, 142.014
215.028, 82.8662, 146.442, 133.132, -29.5058, 142.367
214.94, 81.8734, 145.629, 132.241, -28.4607, 142.716
214.825, 80.8703, 144.811, 131.34, -27.4137, 143.063
214.682, 79.857, 143.988, 130.431, -26.3647, 143.406
214.513, 78.8336, 143.159, 129.512, -25.3138, 143.746
214.317, 77.8004, 142.324, 128.584, -24.2612, 144.083
214.094, 76.7575, 141.484, 127.647, -23.2069, 144.417
213.844, 75.705, 140.639, 126.701, -22.1509, 144.748
213.568, 74.6431, 139.789, 125.747, -21.0935, 145.076
213.266, 73.572, 138.934, 124.784, -20.0346, 145.401
212.937, 72.4918, 138.074, 123.812, -18.9744, 145.723
212.582, 71.4026, 137.21, 122.833, -17.9129, 146.042
212.201, 70.3048, 136.341, 121.845, -16.8502, 146.357
211.794, 69.1984, 135.467, 120.849, -15.7863, 146.67
211.361, 68.0835, 134.589, 119.845, -14.7215, 146.979
210.903, 66.9604, 133.707, 118.833, -13.6557, 147.286
210.419, 65.8293, 132.821, 117.813, -12.589, 147.589
209.91, 64.6902, 131.931, 116.786, -11.5215, 147.89
209.376, 63.5435, 131.037, 115.752, -10.4532, 148.187
208.818, 62.3891, 130.14, 114.71, -9.3843, 148.481
208.234, 61.2274, 129.239, 113.661, -8.31481, 148.772
207.626, 60.0584, 128.334, 112.605, -7.24479, 149.06
206.993, 58.8824, 127.427, 111.542, -6.17433, 149.346
206.336, 57.6995, 126.516, 110.472, -5.10348, 149.628
205.655, 56.5099, 125.601, 109.395, -4.03233, 149.907
204.951, 55.3138, 124.684, 108.312, -2.96093, 150.183
204.223, 54.1113, 123.764, 107.222, -1.88935, 150.456
203.471, 52.9026, 122.842, 106.126, -0.817666, 150.726
202.697, 51.6879, 121.917, 105.024, 0.254072, 150.993
201.899, 50.4673, 120.989, 103.915, 1.32579, 151.257
201.079, 49.2411, 120.059, 102.8, 2.39744, 151.518
200.236, 48.0093, 119.126, 101.68, 3.46895, 151.776
